feature,importance
tenure,0.08240336924791336
Contract_Two year,0.07469085603952408
MonthlyCharges,0.05141833424568176
InternetService_Fiber optic,0.0485277995467186
Contract_One year,0.04571054130792618
TotalCharges,0.040255721658468246
TechSupport_Yes,0.03031819872558117
OnlineSecurity_Yes,0.027566641569137573
PaymentMethod_Electronic check,0.023748507723212242
PaperlessBilling_Yes,0.02155054174363613
MultipleLines_Yes,0.01943712867796421
StreamingTV_Yes,0.017060885205864906
StreamingMovies_Yes,0.016372203826904297
Dependents_Yes,0.01618771068751812
OnlineBackup_Yes,0.0157065037637949
